Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOM_{idx}_COLOR_SCHEME,,Custom {idx},Personnalisé {idx},Personalizado {idx},Spezial {idx},,,,,,,,,,,,,カスタム{idx},,,사용자 지정 {idx},,,,,,,,
